Ticker,Name
SFR15Y.SW,SBI For AAA-BBB 15+ Y
^NQLA8300LMGBP,NASDAQ Lat America Banks Lg Md
WIAMERS2710.L,
^NQTW0001AUDT,NASDAQ Taiwan Oil & Gas AUD TR
NZREG.NZ,S&P/NZX ALL REAL ESTATE (INDUST
LZPL.DE,INAV DB X-T D600 HC
^NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AU
^NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg
23576012.SG,
^DWMFCGT,^DWMFCGT
^NQLA3500CADN,NASDAQ Lat America Food & Bever
^NQUSM2737AUDN,NQ US Md Cap Elec Eqpt AUD NTR
537A.DE,
AW12.FGI,FTSE All World Index - Europe e
^NQASPA1300T,The NASDAQ ASPA Chemicals Index
^NQDMASPA3000EURN,NASDAQ DM ASPA Cnsmr Goods EUR
DK71.DE,IN.IS.MSCI JAP.CHF HD.YN
SFA05D.SW,SBI For AAA-A 10-15 D
^NQAUSCAUDT,NASDAQ Australia Small Cap AUD
26773612.SG,
^BKCSW,BNY Mellon Sweden Classic ADR I
^NQMY1000AUDN,NASDAQ Malaysia Basic Matls AUD
^NQASIA0001LMAUDN,NASDAQ Asia Oil & Gas Large Mid
5EDJ.DE,IN.IS.MSCI POLAND USD
^BKFRT,BNY Mellon France ADR Total Ret
^NQHUAUDN,NASDAQ Hungary AUD NTR Index
^NQLA8600LMCADN,NASDAQ Lat Am Real Estate Lg Md
^NQEMASIASCEURT,NASDAQ EM Asia Small Cap EUR TR
^NQHK5000AUD,NASDAQ Hong Kong Cnsmr Svcs AUD
SXW9.Z,
^NQDMASPASCAUDN,NASDAQ DM ASPA Small Cap AUD NT
^NQUSB8530AUDT,NQ US Bnchmk Nonlife Ins AUD TR
^NQASPAXJPJPYN,NASDAQ ASPA Ex Japan JPY NTR In
N8WZ.DE,DAXGLOBAL ASIA PR.GBP
4MU3.DE,INAVISEUCORBDLCUCHF
^NQASPA5300LMJPYN,NASDAQ ASPA Retail Large Mid Ca
